year,month,day,hour,sumCount
2018,9,29,3,1660859
2018,9,16,4,1495261
2018,9,16,2,1584061
2018,9,26,5,1709786
2018,9,29,5,1704399
2018,9,26,4,1683822
2019,9,5,8,1364585
2018,9,16,6,1645944
2019,9,5,7,1370729
2019,9,6,6,1323739
2018,9,3,6,1695350
2018,9,19,15,1826151
2018,9,17,17,1997444
2018,9,3,4,1450105
2018,9,28,0,1655878
2018,9,19,19,2148008
2019,9,21,2,1366473
2018,9,28,3,1591251
2019,9,21,3,1463809
2019,9,29,19,1675476
2019,9,29,18,1640861
2018,9,17,13,1996498
2018,9,3,1,1307550
2018,9,3,5,1532774
2019,9,21,5,1413470
2019,9,21,1,1358498
2018,9,19,16,1933173
2018,9,7,21,1734817
2018,9,28,6,1677858
2018,9,17,15,1998772
2018,9,19,14,1887030
2019,9,29,14,1735713
2019,9,21,0,1347447
2018,9,28,5,1570431
2019,9,29,16,1646481
2018,9,19,17,1947751
2018,9,3,2,1405183
2018,9,17,12,1939959
2018,9,7,22,1647759
2018,9,19,18,2218086
2018,9,7,19,1879921
2019,9,29,15,1766248
2018,9,17,14,2064163
2019,9,29,17,1626796
2018,9,28,1,1567166
2018,9,7,20,1825984
2018,9,3,3,1380069
2018,9,17,16,1964453
2018,9,3,0,1388606
2018,9,7,17,1934108
2018,9,28,2,1664130
2018,9,28,4,1538963
2019,9,21,4,1415090
2018,9,7,18,1918403
2018,9,21,16,1875642
2018,9,15,11,1812006
2019,9,3,18,1688367
2019,9,3,20,1674608
2018,9,21,17,1821335
2018,9,27,19,2028620
2018,9,27,17,1912930
2018,9,15,10,1756917
2018,9,27,18,2064452
2018,9,9,12,1824303
2018,9,21,19,1861955
2018,9,15,12,1814964
2018,9,9,11,1728991
2018,9,5,19,1901856
2018,9,9,15,1898634
2018,9,27,22,1699334
2018,9,5,20,1923369
2018,9,25,12,1890928
2018,9,15,14,1852798
2018,9,27,21,1790151
2018,9,5,21,1723949
2018,9,21,15,1963047
2018,9,5,18,1905955
2018,9,25,14,2041575
2018,9,9,14,1911412
2018,9,25,11,1781661
2018,9,25,16,1944865
2018,9,25,13,1944959
2018,9,21,18,1858131
